OTU	A01	A02	A03	A04	A05	A06	A07	A08	A09	A10	A11	A12	A13	A14	A15	A16	A17	A18	A19	A20	A21	A22	A23	A24	A25	A26	A27	A28	A29	A30	realm	phylum	class	order	family	genus	species
ZOTU988	45	10	34	27	8	3	46	21	57	17	57	42	21	10	5	25	17	49	1	1	3	0	1	0	88	0	1	53	84	154	Bacteria	 Bacteroidetes	 Bacteroidia	 Bacteroidales	 Bacteroidaceae	 Bacteroides	 
ZOTU1084	4	11	1	6	28	23	5	7	7	4	6	2	46	23	41	4	7	8	9	6	14	44	26	24	25	16	11	16	10	83	Bacteria	 Actinobacteria	 Actinobacteria	 Actinomycetales	 Actinomycetaceae	 Actinomyces	 uncultured_bacterium
ZOTU653	2	11	14	1	18	5	4	2	7	7	8	51	25	8	17	5	9	14	0	0	0	0	0	0	0	0	0	17	10	0	Bacteria	 Firmicutes	 Clostridia	 Clostridiales	 Lachnospiraceae	 	 
ZOTU332	4	9	4	2	8	10	14	6	14	1	7	5	13	10	20	4	3	1	0	0	1	1	1	0	2	2	0	11	9	9	Bacteria	 Firmicutes	 Clostridia	 Clostridiales	 Ruminococcaceae	 Anaerotruncus	 
ZOTU1251	5	11	3	6	9	13	1	0	1	2	2	1	18	10	26	4	6	5	0	0	0	0	0	0	0	0	0	71	59	0	Bacteria	 Firmicutes	 Clostridia	 Clostridiales	 Lachnospiraceae	 Coprococcus_1	 uncultured_bacterium
ZOTU859	12	9	15	13	12	6	8	10	16	3	13	6	26	14	7	3	2	8	11	1	16	0	1	0	8	21	14	13	8	31	Bacteria	 Firmicutes	 Clostridia	 Clostridiales	 	 	 
ZOTU1480	25	116	13	15	127	82	1	8	4	3	32	20	175	76	102	9	14	11	5	6	9	35	26	23	13	17	12	0	0	0	Bacteria	 Firmicutes	 	 	 	 	 
ZOTU592	5	15	1	2	16	14	6	9	4	0	1	3	21	13	21	1	2	2	0	0	3	0	1	1	4	2	1	14	12	8	Bacteria	 Firmicutes	 Clostridia	 Clostridiales	 Ruminococcaceae	 Ruminiclostridium	 
ZOTU1427	5	30	27	18	4	5	0	0	0	32	75	32	39	22	37	66	64	234	0	0	0	0	0	0	0	1	1	97	106	24	Bacteria	 Firmicutes	 Clostridia	 Clostridiales	 Lachnospiraceae	 	 
ZOTU180	47	275	45	16	347	303	43	41	76	15	14	20	275	178	156	21	35	46	216	45	410	1074	440	684	670	587	568	798	795	1198	Bacteria	 Firmicutes	 Clostridia	 Clostridiales	 Lachnospiraceae	 Lachnospiraceae_ND3007_group	 uncultured_bacterium
ZOTU479	10	11	61	16	11	15	4	6	8	18	48	8	18	16	39	32	58	40	1	0	1	9	5	4	10	5	4	68	50	30	Bacteria	 Firmicutes	 Clostridia	 Clostridiales	 Lachnospiraceae	 	 
ZOTU1113	23	61	23	23	154	68	1	2	1	11	16	16	150	112	123	8	11	11	14	17	23	125	49	66	33	33	29	0	0	7	Bacteria	 Firmicutes	 Clostridia	 Clostridiales	 Lachnospiraceae	 	 
ZOTU436	12	54	4	3	59	54	13	10	7	0	2	0	59	27	54	2	2	0	0	0	0	0	0	0	0	0	0	2	4	2	Bacteria	 Lentisphaerae	 Lentisphaeria	 Victivallales	 Victivallaceae	 Victivallis	 
ZOTU1457	42	5	6	8	5	2	38	60	50	2	3	1	8	10	2	7	2	4	1	0	4	0	0	0	4	5	1	1	5	1	Bacteria	 Proteobacteria	 	 	 	 	 
ZOTU1510	7	7	13	13	12	2	4	0	5	6	15	8	19	9	9	6	8	9	8	0	5	3	0	0	0	0	1	13	13	16	Bacteria	 Actinobacteria	 Coriobacteriia	 Coriobacteriales	 Coriobacteriaceae	 Collinsella	 uncultured_bacterium
ZOTU556	6	1	3	2	7	5	4	0	5	2	2	3	11	3	8	0	2	1	0	0	0	0	0	0	0	0	0	35	20	0	Bacteria	 Actinobacteria	 Coriobacteriia	 Coriobacteriales	 Coriobacteriaceae	 uncultured	 
ZOTU721	51	29	24	13	82	46	56	79	82	16	26	38	127	66	116	27	33	30	0	0	5	10	6	5	20	9	4	147	118	57	Bacteria	 Firmicutes	 Clostridia	 Clostridiales	 Ruminococcaceae	 Ruminiclostridium_9	 
ZOTU1173	5	28	2	2	65	37	3	3	2	3	4	6	39	23	31	0	2	0	1	0	0	3	3	0	2	0	0	0	0	0	Bacteria	 	 	 	 	 	 
ZOTU1439	11	58	4	1	98	65	3	5	1	2	9	6	92	47	86	0	1	6	7	1	6	20	15	11	6	14	5	0	0	0	Bacteria	 	 	 	 	 	 
ZOTU1105	22	87	21	13	45	28	4	2	1	19	44	20	100	46	69	26	40	101	2	0	1	5	8	6	4	12	4	450	508	321	Bacteria	 Firmicutes	 Clostridia	 Clostridiales	 Lachnospiraceae	 Blautia	 
ZOTU1313	24	5	3	3	4	6	13	0	6	3	4	8	7	4	4	2	3	1	1	0	0	7	5	3	1	4	1	0	0	0	Bacteria	 Proteobacteria	 	 	 	 	 
ZOTU1504	7	0	201	46	0	0	0	0	0	44	176	66	0	0	0	140	240	231	4	0	1	0	0	0	2	2	0	5	5	2	Bacteria	 Firmicutes	 Clostridia	 Clostridiales	 	 	 
ZOTU196	16	2	8	3	10	5	45	3	20	7	4	20	14	12	11	7	5	6	0	0	0	0	1	0	0	0	0	16	26	1	Bacteria	 Firmicutes	 Clostridia	 Clostridiales	 Ruminococcaceae	 	 
ZOTU1303	63	0	14	12	0	1	93	21	44	16	15	33	6	0	0	22	9	36	1	0	0	0	0	0	0	1	1	3	12	6	Bacteria	 Firmicutes	 Clostridia	 Clostridiales	 Ruminococcaceae	 	 
